,,,,,,
,8337,NEW HOPE HARVESTING INC,,,,1
,,NEW HOPE HARVESTING LLC,2,1,,
,8422,SAINI FARMS INC,1,1,,
,8530,SAN PASQUAL AVOCADO CO,1,1,,
,8677,ZION HARVEST INC,1,1,,
,8735,SIERRA CASCADE NURSERY INC,1,1,,
,,"SIERRA CASCADE NURSERY, INC.",1,1,,
,8829,CARNEROS CREEK WINERY INC,1,1,,
,8915,FERRARI FARMS INC,,1,,
,9183,SARC INC,5,5,,
,9281,JAIME S GROVE SVC INC,1,1,,
,9460,ST ROMO LABOR FORCE LLC,2,1,,1
,,"ST. ROMO LABOR FORCE, LLC",1,1,,
,9528,WONDERFUL BEES,4,2,,2
,9678,ANOROC VINEYARD MANAGEMENT LLC,1,1,,
,9888,FRESHWAY FARMS,1,1,,
,9948,ELKHORN PACKING CO LLC,12,9,,3
,,ELKHORN PACKING CO. LLC,1,1,,
California Total,,,149,137,,30
Colorado,116,LOV RANCH,,1,,
,135,ROSSI DAIRY PRODUCE LLC,1,1,,
,201,MORIAH RANCH,2,2,,
,293,FARRELL LIVESTOCK,1,1,,
,453,JAMES CRAIG BAIR RANCH CO,1,1,,
,487,KIYOTA GREENHOUSE INC,1,1,,
,499,LA TIERRA DE ESMERALDA INC,2,2,,
,538,JOHN FREDRICK HAROLD DBA TUXEDO CO,,,1,
,865,BLACK BEAR ORCHARDS LLC,1,1,,
,999,BOB ROGERS FARMS INC,1,,,1
,1022,RAY DOMENICO FARMS INCORPORATED,1,1,,
,1051,TEDDY RUCKMAN,1,1,,
,1380,GIAMBROCCO GREENHOUSES INC,1,1,,
,1592,COLORADO VINEYARD SPECIALISTS LLC,1,1,,
,1661,STULL RANCHES LLC,1,1,,
,1854,DAVID SMITH RANCH,1,1,,
,1969,WELLSWEEP RANCHES,1,1,,
,2033,CULBREATH RANCHES,2,2,,
,2093,AUGUST GEORGE NICOLAS,1,1,,
,2145,GREENBANK HARVESTING LLC,1,1,,
,2459,HARVESTIME ENTERPRISES INC,1,1,,
,2493,MILBERGER FARMS LLC,1,1,,
,2571,HALANDRAS RANCHES,1,1,,
,2830,KRUCKENBERG CONSULTING LLC,,1,,
,2890,SOUTHERN CROSS RANCHES,4,3,,1
,2916,SNYDER RANCHES LLC,1,1,,
,3146,SLASH EV RANCH,,1,,
,3156,VIC MAURO PRODUCE LLC,1,1,,
,3280,GARY JOHNSTON APIARIES INC,1,1,,
,3683,KNAPP FARMS LLC,2,1,,1
,3769,CLARK FAMILY ORCHARDS INC,2,2,,
,3772,PALIZZI & SON INC D/B/A PALIZZI FA,1,1,,
,3820,OLSON SGREENHOUSES OF COLORADO LLC,1,1,,
,4088,FULLER ORCHARDS LLC,1,1,,
,4504,CARLOS & ERNESTINE GALICIA FARMS,1,1,,
,4537,AURORA ORGANIC FARMS INC,3,3,,
,4586,FORTUNATE FRUIT LLC DBA NEW LEAF F,1,1,,
,4739,OLDLAND BROTHERS INC,1,1,,
,4758,ENCHANTED MESA PROPERTIES INC,,2,,
,4958,ROONEYS ROUND MOUNTAIN RANCH,1,1,,
,5099,HARRY KOURLIS RANCH,3,3,,1
,5161,CURTIS CHERRY RANCH,1,1,,
,5208,PALISADE PEACH SHACK INC,1,1,,
,5306,CYCLONE RANCH LLC,1,,,1
,5454,KORY SOD LLC,1,1,,
,5508,FOCUS RANCH,1,1,,
,5745,PALISADE PRODUCE,1,1,,
,5918,MESA VIEW ORCHARD INC,1,1,,
,5989,ELY RANCH,,1,,
,6209,WAYNE POLLARD LIVESTOCK INC,1,1,,
,6230,BUFFALO CREEK LAND & CATTLE LLC,1,1,,
,6263,MILE HIGH RANCH,1,1,,
,6294,ROCKIN Y LAND AND LIVESTOCK,1,1,,
,6610,LAZY 3X SHEEP CO LLC,1,1,,
,6616,EX CORP,1,1,,
,6704,TURNBULL LAND & LIVESTOCK,,1,,
,6768,MARVINE RANCH LLC,1,1,,
,6771,P&M LLC,1,1,,
,6792,WMB NEWCO LLC,1,1,,
,7056,DIONISIO PRODUCE & FARMS LLC,1,1,,
,7089,BLACK CAT FARM LLC,1,1,,
,7514,ROBINSON RANCHES,1,1,,
,7518,BRUCHEZ & SONS LLC,1,1,,
,7708,PAT HUGHES RANCH,,,,1
,7728,VANWINKLE RANCH LLC,1,1,,
,7902,MUSSO FARMS INC,1,1,,
,8016,EAGLE CREST NURSERY INC,1,1,,
,8075,SCHLEGEL CATTLE CO LLC,1,1,,
,8182,SOWELL ORCHARDS FRUIT & SALES,1,1,,
,,SOWELL ORCHARDS FRUIT AND SALES,1,1,,
,8289,4M RANCH LLC,1,1,,
,8436,STATELINE CROP CONSULTANTS INC,1,1,,
,8445,HIGH COUNTRY LAMB LLC,1,1,,
,8602,MAURO FARMS,1,,,1
,9209,LEISTIKOW FARMS LLC,1,1,,
,9290,MAX L NOLAND FAMILY LTD PARTNERSHI,1,1,,
,9392,HANCOCK EVERGREENS,1,1,,
,9413,MARIETA NELSON AND ROBERT GEORGE J,1,1,,
,9556,GRAFF S TURF FARMS INC,1,1,,
,9747,NIESBROS FARMS INC,1,1,,
Colorado Total,,,84,86,1,7
Delaware,932,SUZUKI FARMS LLC,1,1,,
,1471,FOREST VIEW NURSERY,1,1,,
Delaware Total,,,2,2,,
Florida,,BAUTISTA FARMS TRUCKING LLC,2,2,,
,230,KING RANCH TURFGRASS L P,3,2,,1
,354,MILLER FARMS LLC,,1,,
,416,JACINTO HERNANDEZ HARVESTING INC,1,,,1
,422,A AND M LABOR MGMT INC,1,1,,
,533,OLVERA TRUCKING CORP,1,1,,
,602,FIRST FARMS INC,,1,,
,623,ANTONIO RAFAEL BARAJAS DBA AR HARV,1,1,,
,626,LAGUNITA HARVESTING LLC,2,3,,
,719,GUZMAN & BARRERA HARVESTING INC,1,1,,
,887,EAM HARVESTING LLC,1,1,,
,1059,HACIENDA FARMS INC,3,3,,
,1431,DELEON AGRICULTURAL SVC LLC,,,1,
,1608,DEWAR NURSERIES INC,1,1,,
,1824,FARM OP INC,2,1,,1
,1876,RED HARVESTING INC,1,1,,
,1945,RODRIGO GUTIERREZ TAPIA DBA 5 G HA,1,1,,
,2316,SUNSTATE HARVESTERS INC,1,,,1
,2390,RUIZ HARVESTING INC,1,1,,
,2549,EVERGLADES HARVESTING & HAULING IN,,1,,
,,EVERGLADES HARVESTING AND HAULING,3,5,,
,2597,EB HARVESTING,1,1,,
,2818,FC OF ARCADIA INC,2,1,,1
,2820,TEMP LABOR LLC,,,,1
,2922,RAINBROOK FARMS LLC,2,2,,
,2937,JACKSON CITRUS INC,2,1,,1
,2945,F MADRID HARVESTING INC,1,1,,
,3021,GUTIERREZ HARVESTING LLC,1,,,1
,3082,M K HARVESTING INC,1,1,,
,3269,PREMIER PACKING LLC,1,1,,
,3579,AGRICULTURE GROWTH SVCS LLC,1,1,,
,3813,GILLMOR FARMS INC,1,1,,
,3851,SEBRING CITRUS INC,3,3,,
,4034,VASQUEZ CITRUS & HAULING INC,1,1,,
,4132,JFT HARVESTING INC,3,3,,
,4168,L A BERRY FARM INC,1,1,,
,4475,MARTINEZ & SONS TRUCKING LLC,1,1,,
,4483,JESTER BEE CO,1,1,,
,4653,S&S APIARIES,,1,,
,4682,(blank),,,,1
,4903,CARROLL DAVIDSON PARTNERSHIP LTD D,1,1,,
,4958,D/B/A FRANCO MEDINA HARVESTING,1,2,,
,,FRANCO MEDINA HARVESTING,2,2,1,
,5314,TM HARVESTING INC,1,1,,
,5373,DUNSON HARVESTING INC,2,2,,
,5377,RAFAEL BARAJAS,2,2,,
,5391,OSCAR GONZALEZ AND SONS HARVESTING,1,1,,
,5673,GOMELLO LLC,2,2,,
,5682,J HERNANDEZ HARVESTING INC,1,1,,
,5859,DEL SUR HARVESTING INC,1,1,,
,,DEL SUR HARVESTING LLC,4,4,,
,5935,FERNANDO MEZA HARVESTING INC,2,2,,
,6163,JOHNSON HARVESTING INC,1,2,,
,6306,EVERGALDES HARVEST AND HAUL LLC,,1,,
,,EVERGLADES HARVEST AND HAUL LLC,1,1,,
,,"EVERGLADES HARVEST AND HAUL, LLC",1,1,,
,6318,(blank),1,1,,
,6466,STATEWIDE HARVESTING & HAULING INC,1,2,,
,6541,PRIDE HARVESTING LLC,1,1,,
,6790,JBO HARVESTING INC,1,1,,
,6849,HYATT FARMS,,,,1
,6910,BAILEY FARMS SOUTH LLC,1,1,,
,6918,5 G HARVESTING LLC,2,1,,1
,,RODRIGO GUTIERREZ TAPIA DBA 5 G HA,,,1,
,7063,S M HERNANDEZ & SONS INC,3,2,,1
,7359,B & W QUALITY GROWERS INC,8,8,,4
,7497,AG LABOR LLC,2,2,,
,7594,PEQUENO HARVESTING LLC,1,1,,
,7612,GRAINGER FARMS LLC,1,1,,
,7687,USA SPECIALTY SVCS CORP,,,,1
,7744,JOSE M GRACIA HARVESTING INC,2,2,,
,7807,HB HARVESTING INC,1,1,,
,7844,MARIN J CORP,1,1,,
,7921,JBJ ENTERPRISES LLC,2,2,,
,7952,G M HARVESTING INC,1,1,,
,8040,RODRIGUEZ CITRUS HARVESTING INC,1,1,,
,8141,AGRI CREW LLC,3,2,,1
,8177,BADILLO BROTHERS INC,4,3,,1
,8236,P & L HARVESTING LLC,1,1,,
,8397,R&R HARVESTING INC,1,1,,1
,8482,BAUTISTA FARMS TRUCKING LLC,1,1,,
,8591,PAL S APIARIES INC,,1,,
,8811,ALTA CITRUS LLC,,1,,
,8866,D&J AND SON S HARVESTING INC,2,2,,
,8886,HAPPY HARVEST LLC,,1,,
,,HAPPY HARVEST LLKC,1,1,,
,9042,REIHM PRODUCE FARM LLC,1,1,,
,9333,OVERLOOK HARVESTING CO LLC,1,1,,
,9422,VALLEY PRODUCE HARVESTING AND HAUL,,1,,
,9515,BECERRA ENTERPRISES INC,1,1,,
,9624,"DOUBLE J HARVESTING, INC.",1,1,,
,9645,PAUL INC D/B/A CAR TWO,1,1,,
,9670,(blank),1,1,,
,9698,V&S HARVESTING INC,1,1,,
,9966,KUZZEN S INC,9,7,,2
Florida Total,,,131,133,3,22
Georgia,6,H E HARPER FARMS,1,1,,
,,H E HARPER FARMS & HARPER & SONS I,1,1,,
,28,SOUTHERN BLUE FARMS LLC,1,1,,
,46,DRISKELL COTTON FARMS AND BIG CREE,1,1,,
,70,TOM DODD NURSERIES INC,1,1,,
,111,BAYOU MASON PLANTING CO,1,1,,
,131,APRIL MORNING PLANTING CO INC,1,1,,
,150,CHASE SWINDLE FARMS,1,1,,
,179,HOYT ALTMAN BLUEBERRY FARM LLC,1,1,,
,234,F & R GRASSO LLC,1,1,,
,263,MASON PECANS,1,1,,
,272,FITZGERALD FRUIT FARMS LLC,1,,,1
,335,H & W FARMS LLC,1,1,,
,344,MCNEILL LABOR MGMT INC,2,4,,1
,,MCNIELL LABOR MGMT INC,1,1,,
,392,ED LESTER FARMS,2,2,,
,469,CASTILLO HARVESTING LLC,1,1,,
,483,ALVAREZ AND SONS LLC,2,2,,
,485,RANDAL RIVERE FARMS INC,1,1,,
,492,DE &K FARMS PARTNERSHIP,1,1,,
,540,BOOZER FARMS,1,1,,
,541,BAKER ENVIRONMENTAL NURSERY INC,1,1,,
,555,HEAGAN FARMS,1,1,,
,579,DICKEY FARMS INC,1,1,,
,615,SPORTING VALLEY TURF FARMS INC,1,1,,
,778,RA SAPOTE HARVESTING LLC,1,1,,
,799,RINEER FAMILY FARMS LLC,1,,,1
,804,MELO FARMS LLC,1,1,,
,843,JAEMOR FARM MARKET INC,1,1,,
,864,JONATHAN VEGA,1,1,,
,893,WADE FARMS INC DBA ALMA BERRY FARM,1,1,,
,960,GRACE E AGUIRRE GONZALES,1,1,,
,1023,MLH FARMS LLC,1,1,,
,1027,LANCE & DONNA PADGETT JOINT VENTUR,1,1,,
,1069,MOUNTAIN VIEW ORCHARDS LLC,1,1,,
,1097,TREJO LABOR SERVICE LLC,1,1,,
,1112,(blank),1,1,,
,1162,FIDENCIO DIAZ DBA DP AND DIAZ HAR,1,1,,
,,FIDENCIO DIAZ DBA DP AND DIAZ HARV,1,1,,
,1209,RICH ALL FARMS INC,1,1,,
,1265,COHELMS,1,1,,
,1281,BULLOCK FARMS,1,1,,
,1311,MORALES BLUEBERRY HARVESTING LLC,1,1,,
,1324,BAYOU METO FARM GROUP,1,1,,
,1327,SAMSON PARTNERSHIP AND TRINITY FAR,1,1,,
,1345,FRUITWOOD FARMS INC,1,1,,
,1680,MULBERRY SOD FARM,1,1,,
,1708,THE PINE STRAW MAN LLC,1,1,,
,1716,G & R FARMS,1,1,,
,1876,FLOWERWOOD NURSERY INC,1,1,,
,1903,(blank),2,2,,
,1922,IRISH BEND PLANTING INC & BREAUX B,1,1,,
,1939,ROYAL C FARMS LLC,3,2,,1
,1964,SHORE ACRES PLANT FARM INC,1,1,,
,1975,COURSON FAMILY FARMS LLC,1,1,,
,1985,JAZMIN GOMEZ,1,,,1
,2066,(blank),1,1,,
,2097,L & M FARMS OF GA LLC,1,1,,
,,L & M FARMS OF GEORGIA LLC,1,,,1
,2122,(blank),2,2,,
,2126,TRUE VINE NURSERY INC,1,1,,
,2141,TYCOR FARMS LLC,2,1,,1
,2171,ALBERTO & SONS LLC,3,3,,
,2214,ALLYSON L TISDALE,1,,,1
,2265,JESSICA N BRIONES,1,,,1
,2270,(blank),3,3,,
,2285,CANNISNIA PLANTATION LLC & DIAMOND,1,1,,
,2352,TRANSPLANT NURSERY INC,,1,,
,2360,CAJUN CANE FARMS LLC,1,1,,
,2375,J P WALT & SONS INC,1,1,,
,2437,SMILES FARMS AND DOUBLE M FARMS JO,1,1,,
,2557,JDS VENTURES DBA JP S NURSERY,1,1,,
,2667,DIXIE HARVESTING INC,1,,,1
,2777,CLAYTON HURDLE FARMS LLC AND BRADY,1,1,,
,2789,BEN & BEN BECNEL INC,1,1,,
,2826,LAS GEMELAS,2,2,,
,2851,EVANS FARMS G P,1,1,,
,2915,RAYNER PLANTING CO,1,1,,
,2936,B & A CANE INC,1,1,,
,2977,ROCKINGHAM BERRY FARMS LLC,1,1,,
,3059,TED BROUSSARD FARMS INC AND B&B PL,1,1,,
,3064,JIL FARMS LLC AND KENNY PRICE FARM,1,1,,
,3167,(blank),1,1,,
,3189,ANGELINA AG CO LLC AND ANGELINA GR,1,1,,
,3245,LG HERNDON JR FARMS INC,2,1,,1
,3278,(blank),1,1,,
,3290,(blank),1,1,,
,3295,BUDS & BLOOMS NURSERY INC,1,1,,
,3420,J & J HARVESTING LLC,,,,1
,3426,RAMAGOS FARMS INC,1,1,,
,3443,S&J LABOR CONTRACTORS,3,3,,
,3455,(blank),1,1,,
,3519,(blank),1,1,,
,3540,LINZAY FARMS,1,1,,
,3581,MORGAN FARMS INC,1,1,,
,3588,SNOW S BEND FARM INC,1,1,,
,3683,MORRIS FARMS PARTNERSHIP LLC,1,1,,
,3686,(blank),1,,,1
,3714,FLAT ROCK RESOURCES LLC,1,,,1
,3715,HEARN BROTHERS FARM,1,1,,
,3779,ERWIN G THURMOND III,1,,,1
,3794,NOE AGUIRRE,1,1,,
,3854,MCLAIN FARMS INC,1,1,,
,3876,CITY PINESTRAW & HARVESTING LLC,2,2,,
,3898,W H DUNKLIN JR FARMS & DUBLE FISH,1,1,,
,3942,G & L FARM PARTNERSHIP & GNG FARM,1,1,,
,3962,G & C FARM PARTNERSHIP AND LEXIE T,1,1,,
,3969,SELF FARMS PARTNERSHIP,1,1,,
,3993,(blank),1,1,,
,4015,HAYDAY FARM PARTNERSHIP,1,1,,
,4103,J & R BAKER PRODUCE INC,1,1,,
,4168,(blank),1,,,1
,4227,JUSTIN W PETERSON,1,,,1
,4327,GREGORIO TLACUATL,1,1,,
,4391,(blank),1,1,,
,4400,(blank),1,1,,
,4403,MASSEY PRODUCE FARM LLC,1,1,,
,4432,LUIS MARTINEZ,1,1,,
,,REYNALDO GONZALEZ,,,,1
,4464,GREEN VALLEY FARMS INC,1,1,,
,4479,(blank),1,,,1
,4492,JIMMY W. DURBIN FARMS,1,1,,
,4495,(blank),1,1,,
,4534,PERINO S GARDEN CENTER INC,1,1,,
,4536,SELECT TREES ENTERPRISES INC,2,2,,
,4591,(blank),1,1,,
,4639,GRANADOS HARVESTING,1,1,,
,4688,BURNETTE FARMS,1,1,,
,4707,SWINDLE FARMS,1,1,,
,4715,(blank),1,1,,
,4727,MIGUEL PEREZ,,,,1
,4794,MONTE VALLOT S FARM AND DONNY VALL,1,1,,
,4840,LAKE HALL FARMS INC,1,1,,
,4843,ST ISIDORE PLANTERS AND SUNNYSIDE,1,1,,
,4934,CEDAR MEADOW FARM LLC,1,1,,
,4945,SATILLA HARVESTING LLC,2,2,,
